Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,lower
Mayank Agarwal,PBKS,https://sports.ndtv.com/cricket/players/1430-mayank-agarwal-playerprofile,Batsman ,12.0,Mayank Anurag Agarwal,"February 16, 1991 Bangalore, Karnataka","31 Years, 0 Months, 28 Days",India,Right Handed,Off break,,100.0,95.0,4.0,2131.0,106 v RR,1.0,11.0,203.0,85.0,23.41,135.47,40.0,0.0,6.0,4.0,,,,,,,,,,,,,mayank agarwal
Liam Livingstone,PBKS,https://sports.ndtv.com/cricket/players/64363-liam-stephen-livingstone-playerprofile,All-Rounder ,11.5,Liam Stephen Livingstone,"August 4, 1993 Barrow-in-Furness, Cumberland","28 Years, 7 Months, 11 Days",England,Right Handed,Leg break,IPL,9.0,9.0,1.0,112.0,44 v SRH,0.0,0.0,9.0,6.0,14.0,125.84,7.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,0/13 v MI,0.0,0.0,,13.0,,1.0,liam livingstone
Kagiso Rabada,PBKS,https://sports.ndtv.com/cricket/players/64042-kagiso-rabada-playerprofile,Bowler ,9.25,Kagiso Rabada,"May 25, 1995 Johannesburg","26 Years, 9 Months, 22 Days",South Africa,Left Handed,Right-arm fast,IPL,50.0,18.0,8.0,138.0,44 v MI,0.0,0.0,11.0,4.0,13.8,102.98,23.0,0.0,5.0,2.0,50.0,190.0,2.0,1560.0,76.0,4/21 v RCB,4.0,0.0,20.52,8.21,15.0,50.0,kagiso rabada
Shahrukh Khan,PBKS,https://sports.ndtv.com/cricket/players/113433-shahrukh-khan-playerprofile,All-Rounder ,9.0,Masood Shahrukh Khan,"May 27, 1995 Chennai, Tamil Nadu","26 Years, 9 Months, 20 Days",India,Right Handed,Off break,,11.0,10.0,3.0,153.0,47 v CSK,0.0,0.0,9.0,10.0,21.85,134.21,4.0,0.0,1.0,1.0,,,,,,,,,,,,,shahrukh khan
Shikhar Dhawan,PBKS,https://sports.ndtv.com/cricket/players/737-shikhar-dhawan-playerprofile,Batsman ,8.25,Shikhar Dhawan,"December 5, 1985 Delhi","36 Years, 3 Months, 10 Days",India,Left Handed,Off break,IPL,192.0,191.0,25.0,5784.0,106* v PBKS,2.0,44.0,654.0,124.0,34.84,126.64,82.0,0.0,11.0,16.0,6.0,8.0,0.0,66.0,4.0,1/7 v DC,0.0,0.0,16.5,8.25,12.0,6.0,shikhar dhawan
Jonny Bairstow,PBKS,https://sports.ndtv.com/cricket/players/1551-jonny-bairstow-playerprofile,Wicket-Keeper ,6.75,Jonathan Marc Bairstow,"September 26, 1989 Bradford, Yorkshire","32 Years, 5 Months, 19 Days",England,Right Handed,Right-arm medium,,28.0,28.0,3.0,1038.0,114 v RCB,1.0,7.0,99.0,46.0,41.52,142.19,18.0,4.0,2.0,0.0,,,,,,,,,,,,,jonny bairstow
Odean Smith,PBKS,https://sports.ndtv.com/cricket/players/108548-odean-smith-playerprofile,All-Rounder ,6.0,Odean Fabian Smith,"November 1, 1996 St. Elizabeth, Jamaica","25 Years, 4 Months, 14 Days",West Indies,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,odean smith
Rahul Chahar,PBKS,https://sports.ndtv.com/cricket/players/107512-rahul-chahar-playerprofile,Bowler ,5.25,Rahul Desraj Chahar,"August 4, 1999 Bharaatpur, Rajasthan","22 Years, 7 Months, 12 Days",India,Right Handed,Leg break googly,IPL,42.0,11.0,4.0,31.0,10 v SRH,0.0,0.0,3.0,0.0,4.42,96.87,11.0,0.0,4.0,1.0,41.0,150.0,0.0,1117.0,43.0,4/27 v KKR,3.0,0.0,25.97,7.44,20.93,41.0,rahul chahar
Arshdeep Singh,PBKS,https://sports.ndtv.com/cricket/players/108557-arshdeep-singh-playerprofile,Bowler ,4.0,Arshdeep Singh,"February 5, 1999 Guna, Madhya Pradesh","23 Years, 1 Months, 8 Days",India,Left Handed,Left-arm medium fast,IPL,23.0,3.0,2.0,2.0,1* v KKR,0.0,0.0,0.0,0.0,2.0,33.33,6.0,0.0,1.0,0.0,23.0,76.1,1.0,669.0,30.0,5/32 v RR,3.0,1.0,22.3,8.78,15.23,23.0,arshdeep singh
Harpreet Brar,PBKS,https://sports.ndtv.com/cricket/players/110975-harpreet-brar-playerprofile,All-Rounder ,3.8,Harpreet Brar,"September 16, 1995 Moga, Punjab","26 Years, 6 Months, 0 Days",India,Left Handed,Slow left-arm orthodox,IPL,10.0,6.0,6.0,84.0,25* v RCB,0.0,0.0,5.0,3.0,,120.0,2.0,0.0,0.0,0.0,10.0,32.0,1.0,228.0,5.0,3/19 v RCB,1.0,0.0,45.6,7.12,38.4,10.0,harpreet brar
